,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
40,1996,Nevada,217.6226122,Mathematics,4,265041,1551169,67278,1608989,767237,2.8947860896993296
41,1992,Delaware,217.8999724,Mathematics,4,0,645233,45945,638784,372722,5.713752923891132
42,1992,Texas,217.9187445,Mathematics,4,0,16264180,1160185,16119084,7961379,5.713752923891132
43,2000,Alabama,217.941053,Mathematics,4,730184,4885917,425978,5003267,2551713,3.494616425448928
44,2000,Louisiana,217.9637562,Mathematics,4,750755,4785331,556240,4807097,2601684,3.465423473703139
45,1992,New York,218.4455353,Mathematics,4,0,21630179,1172030,22815611,13288972,5.713752923891132
46,1992,Ohio,218.7119349,Mathematics,4,0,9285961,472604,9483822,5172782,5.713752923891132
47,2000,Arizona,218.7666191,Mathematics,4,814807,5479168,534619,5397194,2488932,3.05462766029256
48,1996,Tennessee,219.176248,Mathematics,4,881749,4123018,340239,4284181,2363545,2.680519059278774
49,2009,District of Columbia,219.260141,Mathematics,4,44331,801008,75856,805362,330698,7.459746001669261
50,2000,Georgia,219.5567571,Mathematics,4,1422941,11197766,710741,10884510,5701293,4.006696693678796
51,2000,Tennessee,219.8355873,Mathematics,4,907222,5338531,462000,5805181,3166208,3.490003549296644
52,1992,Michigan,219.8783523,Mathematics,4,0,9963137,537917,10170688,4681327,5.713752923891132
53,1996,Kentucky,219.988195,Mathematics,4,639531,3622788,305059,3826435,1970377,3.0809718371744292
54,2000,Nevada,220.2748665,Mathematics,4,325610,2252416,110210,2437438,1114489,3.422772642117871
55,1992,Oklahoma,220.3198059,Mathematics,4,0,2396705,211627,2515272,1283577,5.713752923891132
56,2000,South Carolina,220.4170062,Mathematics,4,666780,4690418,366587,4961392,2426139,3.6385899397102492
57,1996,Rhode Island,220.4180939,Mathematics,4,148977,1135192,57826,1092459,699778,4.697221718788806
58,1996,Maryland,220.6949607,Mathematics,4,805544,5688918,271806,5825606,3197895,3.969857636578511
59,1992,Virginia,220.7629642,Mathematics,4,0,5631293,313971,5744469,2982862,5.713752923891132
60,2000,Kentucky,220.9935967,Mathematics,4,646467,4330089,426956,4510972,2345581,3.6283074000683717
